	mc5	mc5a	mc5b	mc5c	mc5d	mc5e	mc5f
ln_asset	-0.147	-0.173	-0.119	-0.177	-0.164	-0.138	-0.159
	(0.269)	(0.270)	(0.274)	(0.273)	(0.270)	(0.269)	(0.281)
cash_holding	0.012	0.012	0.011	0.013	0.012	0.012	0.013
	(0.011)	(0.011)	(0.011)	(0.011)	(0.011)	(0.011)	(0.012)
roa	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.000
	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)	(0.004)	(0.004)
ln_employee	0.194	0.230	0.139	0.225	0.223	0.179	0.178
	(0.333)	(0.333)	(0.344)	(0.338)	(0.334)	(0.333)	(0.355)
j.age	-0.184	-0.197	-0.186	-0.196	-0.181	-0.197	-0.221
	(0.246)	(0.247)	(0.246)	(0.247)	(0.248)	(0.247)	(0.250)
i.age	0.235	0.246	0.238	0.248	0.231	0.248	0.272
	(0.244)	(0.245)	(0.245)	(0.245)	(0.246)	(0.245)	(0.248)
ij.age.diff	-0.220	-0.231	-0.223	-0.233	-0.216	-0.233	-0.257
	(0.245)	(0.245)	(0.245)	(0.246)	(0.246)	(0.245)	(0.248)
i.deg	-0.002	-0.001	-0.002	-0.001	-0.001	-0.002	-0.001
	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)
j.deg	-0.474***	-0.500***	-0.464***	-0.463***	-0.537***	-0.474***	-0.530***
	(0.058)	(0.062)	(0.058)	(0.058)	(0.066)	(0.058)	(0.067)
ij.same.region	0.867***	0.859***	0.880***	0.876***	0.877***	0.871***	0.899***
	(0.175)	(0.175)	(0.175)	(0.175)	(0.175)	(0.175)	(0.176)
i.fm.mmc.sum	0.467	0.506	0.528	0.501	0.471	0.467	0.609
	(0.323)	(0.326)	(0.330)	(0.331)	(0.327)	(0.324)	(0.346)
I(i.acq.experience * 100)	0.193***	0.192***	0.192***	0.192***	0.191***	0.192***	0.189***
	(0.055)	(0.055)	(0.055)	(0.055)	(0.055)	(0.055)	(0.057)
ij.discossim	-0.709	-0.700	-0.693	-0.727	-0.692	-1.816	-2.100
	(0.449)	(0.450)	(0.450)	(0.452)	(0.450)	(1.043)	(1.078)
I(i.fm.mmc.sum^2)	-0.190*	-0.199**	-0.195**	-0.191*	-0.190*	-0.190*	-0.202*
	(0.075)	(0.076)	(0.076)	(0.076)	(0.076)	(0.075)	(0.078)
ij.dist	-0.450***	-0.619***	1.474	-0.481***	-0.367***	-0.363**	1.895
	(0.092)	(0.134)	(0.954)	(0.093)	(0.097)	(0.118)	(0.970)
j.constraint	0.433	-0.899	0.501	0.512	0.154	0.445	-0.508
	(0.334)	(0.813)	(0.337)	(0.340)	(0.353)	(0.334)	(0.827)
ij.syn.closeness2	-0.592**	-0.614**	-1.648**	-0.502**	-0.565**	-0.592**	-1.758**
	(0.197)	(0.196)	(0.588)	(0.194)	(0.193)	(0.197)	(0.591)
ij.syn.constraint	-1.504	-2.195	0.026	12.146	-4.101	-1.441	10.159
	(2.550)	(2.681)	(2.568)	(10.981)	(3.002)	(2.551)	(13.144)
ij.syn.degree	0.486***	0.511***	0.477***	0.476***	0.598***	0.487***	0.591***
	(0.058)	(0.062)	(0.058)	(0.059)	(0.075)	(0.058)	(0.076)
ij.dist x j.constraint		0.353					0.218
		(0.198)					(0.208)
ij.dist x ij.syn.closeness2			0.343*				0.407*
			(0.169)				(0.170)
ij.dist x ij.syn.constraint				-4.982			-4.220
				(3.233)			(3.649)
ij.dist x ij.syn.degree					-0.020**		-0.019*
					(0.008)		(0.008)
ij.discossim x ij.dist						0.312	0.402
						(0.267)	(0.279)
Likelihood-ratio	341.9	345.3	345.8	348.1	349.3	343.3	362.9
Log-likelihood	-465.8	-464.1	-463.8	-462.7	-462.1	-465.1	-455.3
Deviance	931.6	928.2	927.7	925.3	924.2	930.2	910.5
AIC	969.6	968.2	967.7	965.3	964.2	970.2	958.5
BIC	1040.7	1043.1	1042.6	1040.2	1039.1	1045.1	1048.4
N	313	313	313	313	313	313	313
